Date,USD,GBP,EURO,YEN
2014-01-01,61.93,102.39,85.12,58.83
2014-01-02,61.9,102.74,85.16,58.79
2014-01-03,62.41,102.54,85.2,59.9
2014-01-06,62.33,101.99,84.62,59.73
2014-01-07,62.38,102.25,84.97,59.71
2014-01-08,62.24,102.17,84.82,59.34
2014-01-09,62.18,102.31,84.5,59.29
2014-01-10,61.94,102.06,84.31,59.01
2014-01-13,61.52,101.48,84.11,59.49
2014-01-15,61.59,101.09,83.99,58.99
2014-01-16,61.53,100.73,83.84,58.77
2014-01-17,61.35,100.21,85.52,58.78
2014-01-20,61.63,101.25,83.42,59.19
2014-01-21,61.54,101.08,83.38,58.87
2014-01-22,61.92,101.98,83.93,59.3
2014-01-23,61.99,102.67,83.98,59.42
2014-01-24,62.18,103.38,85.09,60.14
2014-01-27,62.71,103.5,85.82,61.21
2014-01-28,62.99,104.61,86.17,61.36
2014-01-29,62.2,103.12,84.96,60.22
2014-01-30,62.73,103.87,85.61,61.22
2014-01-31,62.48,102.95,84.6,60.96
2014-02-03,62.69,102.97,84.58,61.41
2014-02-04,62.68,101.98,84.78,62.12
2014-02-05,62.45,102.01,84.35,61.58
2014-02-06,62.5,101.92,84.5,61.59
2014-02-07,62.32,101.78,84.68,61.01
2014-02-10,62.19,102.14,84.74,60.74
2014-02-11,62.44,102.48,85.28,61.01
2014-02-12,62.13,102.25,84.72,60.6
2014-02-13,62.27,103.47,84.87,61.02
2014-02-14,62.28,103.67,85.18,61.22
2014-02-17,61.95,104.02,84.95,60.97
2014-02-18,62.12,103.93,85.17,60.51
2014-02-20,62.28,103.84,85.7,61.17
2014-02-21,62.16,103.44,85.27,60.66
2014-02-24,62.12,103.38,85.32,60.71
2014-02-25,61.98,103.31,85.14,60.51
2014-02-26,61.94,103.31,85.11,60.53
2014-02-28,62.07,103.61,85.03,60.99
2014-03-03,61.86,103.52,85.31,61.01
2014-03-04,61.9,103.26,85.14,60.84
2014-03-05,61.86,103.06,84.92,60.56
2014-03-06,61.32,102.54,84.19,59.74
2014-03-07,60.99,102.07,84.53,59.22
2014-03-10,61.2,102.35,84.95,59.34
2014-03-11,60.7,100.97,84.16,58.78
2014-03-12,61.09,101.59,84.65,59.39
2014-03-13,61.02,101.65,85.02,59.46
2014-03-14,61.52,102.22,85.23,60.57
2014-03-18,60.95,101.37,84.89,59.9
2014-03-19,61.1,101.41,85.08,60.18
2014-03-20,61.13,101.17,84.59,59.76
2014-03-21,61.05,100.81,84.18,59.64
2014-03-24,60.7,100.11,83.81,59.26
2014-03-25,60.49,99.77,83.67,59.17
2014-03-26,60.17,99.39,83.09,58.81
2014-03-27,60.13,99.65,82.91,58.81
2014-03-28,60.1,99.85,82.58,58.83
2014-04-02,59.65,99.21,82.39,57.48
2014-04-03,60.12,100.07,82.74,57.87
2014-04-04,60.32,100.04,82.65,58.1
2014-04-07,59.95,99.36,82.15,58.13
2014-04-09,60.07,100.56,82.79,58.88
2014-04-10,60.21,101.05,83.33,59.18
2014-04-11,60.27,101.1,83.74,59.2
2014-04-15,60.26,100.71,83.27,59.14
2014-04-16,60.23,100.79,83.29,58.91
2014-04-17,60.38,101.63,83.57,59.2
2014-04-21,60.34,101.41,83.38,58.85
2014-04-22,60.71,102.04,83.77,59.25
2014-04-23,61.07,102.77,84.49,59.51
2014-04-25,61.12,102.71,84.52,59.73
2014-04-28,60.5,101.69,83.62,59.17
2014-04-29,60.53,101.77,83.92,59.01
2014-04-30,60.34,101.45,83.31,58.93
2014-05-02,60.23,101.68,83.46,58.77
2014-05-05,60.05,101.32,83.34,58.88
2014-05-06,60.2,101.68,83.55,59
2014-05-07,60.04,101.97,83.58,59.17
2014-05-08,59.99,101.75,83.48,58.96
2014-05-09,60.05,101.65,83.07,59.06
2014-05-12,59.73,100.82,82.22,58.6
2014-05-13,59.88,100.98,82.4,58.55
2014-05-15,59.47,99.7,81.55,58.34
2014-05-16,58.86,98.82,80.72,57.97
2014-05-19,58.43,98.28,80.12,57.67
